モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26n-pose,1,"{590: [0, 204, 0, 0, 0]}","{590: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Left/2回目/resize.mov
yolo26n-pose,2,"{590: [30, 166, 0, 23, 0], 615: [0, 3, 0, 0, 0]}","{590: [0.137, 0.758, 0.0, 0.105, 0.0], 615: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/RightandCheck/1回目/resize.mov
yolo26n-pose,1,"{590: [0, 212, 0, 0, 0]}","{590: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/RightandCheck/3回目/resize.mov
yolo26n-pose,1,"{590: [0, 222, 0, 0, 0]}","{590: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/RightandCheck/2回目/resize.mov
yolo26n-pose,1,"{590: [110, 75, 0, 1, 0]}","{590: [0.591, 0.403, 0.0, 0.005, 0.0]}",data_yolo/停止/路側/距離10m/Front/1回目/resize.mov
yolo26n-pose,1,"{590: [143, 50, 0, 9, 0]}","{590: [0.708, 0.248, 0.0, 0.045, 0.0]}",data_yolo/停止/路側/距離10m/Front/3回目/resize.mov
yolo26n-pose,3,"{590: [173, 0, 0, 0, 0], 616: [1, 0, 0, 0, 0], 623: [2, 0, 0, 0, 0]}","{590: [1.0, 0.0, 0.0, 0.0, 0.0], 616: [1.0, 0.0, 0.0, 0.0, 0.0], 623: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Front/2回目/resize.mov
yolo26n-pose,1,"{627: [0, 215, 0, 0, 0]}","{627: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Behind/1回目/resize.mov
yolo26n-pose,1,"{627: [0, 200, 0, 0, 0]}","{627: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Behind/3回目/resize.mov
yolo26n-pose,1,"{627: [0, 230, 0, 0, 0]}","{627: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Behind/2回目/resize.mov
yolo26n-pose,1,"{627: [0, 0, 0, 0, 131]}","{627: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Right/1回目/resize.mov
yolo26n-pose,1,"{627: [0, 0, 0, 0, 255]}","{627: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Right/3回目/resize.mov
yolo26n-pose,1,"{627: [0, 0, 0, 0, 252]}","{627: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Right/2回目/resize.mov
yolo26n-pose,1,"{628: [0, 0, 0, 0, 176]}","{628: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Left/1回目/resize.mov
yolo26n-pose,1,"{628: [0, 0, 0, 0, 215]}","{628: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Left/3回目/resize.mov
yolo26n-pose,1,"{628: [0, 0, 0, 0, 221]}","{628: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Left/2回目/resize.mov
yolo26n-pose,1,"{629: [85, 188, 0, 0, 16]}","{629: [0.294, 0.651, 0.0, 0.0, 0.055]}",data_yolo/停止/車載/距離5m/RightandCheck/1回目/resize.mov
yolo26n-pose,1,"{629: [0, 0, 0, 0, 252]}","{629: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/RightandCheck/3回目/resize.mov
yolo26n-pose,1,"{629: [0, 0, 0, 0, 237]}","{629: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/RightandCheck/2回目/resize.mov
