モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26x-pose,1,"{270: [27, 0, 0, 225, 0]}","{270: [0.107, 0.0, 0.0, 0.893, 0.0]}",data_yolo/停止/車載/距離5m/Right/2回目/resize.mov
yolo26x-pose,1,"{270: [0, 177, 0, 0, 0]}","{270: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Left/1回目/resize.mov
yolo26x-pose,1,"{270: [0, 215, 0, 0, 0]}","{270: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Left/3回目/resize.mov
yolo26x-pose,1,"{270: [0, 221, 0, 0, 0]}","{270: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Left/2回目/resize.mov
yolo26x-pose,1,"{284: [160, 67, 0, 62, 0]}","{284: [0.554, 0.232, 0.0, 0.215, 0.0]}",data_yolo/停止/車載/距離5m/RightandCheck/1回目/resize.mov
yolo26x-pose,1,"{284: [143, 22, 0, 87, 0]}","{284: [0.567, 0.087, 0.0, 0.345, 0.0]}",data_yolo/停止/車載/距離5m/RightandCheck/3回目/resize.mov
yolo26x-pose,1,"{284: [108, 56, 0, 73, 0]}","{284: [0.456, 0.236, 0.0, 0.308, 0.0]}",data_yolo/停止/車載/距離5m/RightandCheck/2回目/resize.mov
yolo26x-pose,1,"{285: [215, 0, 0, 0, 0]}","{285: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/1回目/resize.mov
yolo26x-pose,1,"{285: [208, 0, 0, 0, 0]}","{285: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/3回目/resize.mov
yolo26x-pose,1,"{285: [208, 0, 0, 0, 0]}","{285: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/2回目/resize.mov
yolo26x-pose,1,"{286: [0, 207, 0, 0, 0]}","{286: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/1回目/resize.mov
yolo26x-pose,1,"{286: [0, 208, 0, 0, 0]}","{286: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/3回目/resize.mov
yolo26x-pose,1,"{286: [0, 212, 0, 0, 0]}","{286: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/2回目/resize.mov
yolo26x-pose,1,"{286: [101, 1, 0, 108, 0]}","{286: [0.481, 0.005, 0.0, 0.514, 0.0]}",data_yolo/停止/車載/距離10m/Right/1回目/resize.mov
yolo26x-pose,1,"{286: [0, 11, 0, 196, 0]}","{286: [0.0, 0.053, 0.0, 0.947, 0.0]}",data_yolo/停止/車載/距離10m/Right/3回目/resize.mov
yolo26x-pose,1,"{286: [0, 1, 0, 218, 0]}","{286: [0.0, 0.005, 0.0, 0.995, 0.0]}",data_yolo/停止/車載/距離10m/Right/2回目/resize.mov
yolo26x-pose,8,"{286: [0, 41, 171, 0, 0], 288: [0, 0, 3, 0, 0], 291: [0, 0, 1, 0, 0], 292: [0, 0, 2, 0, 0], 293: [0, 0, 3, 0, 0], 294: [0, 0, 2, 0, 0], 295: [0, 0, 1, 0, 0], 296: [0, 0, 2, 0, 0]}","{286: [0.0, 0.193, 0.807, 0.0, 0.0], 288: [0.0, 0.0, 1.0, 0.0, 0.0], 291: [0.0, 0.0, 1.0, 0.0, 0.0], 292: [0.0, 0.0, 1.0, 0.0, 0.0], 293: [0.0, 0.0, 1.0, 0.0, 0.0], 294: [0.0, 0.0, 1.0, 0.0, 0.0], 295: [0.0, 0.0, 1.0, 0.0, 0.0], 296: [0.0, 0.0, 1.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Left/1回目/resize.mov
yolo26x-pose,13,"{286: [0, 0, 218, 0, 0], 300: [0, 0, 2, 0, 0], 308: [0, 0, 7, 0, 0], 310: [0, 0, 1, 0, 0], 311: [0, 0, 2, 0, 0], 312: [0, 0, 2, 0, 0], 314: [0, 0, 1, 0, 0], 315: [0, 0, 3, 0, 0], 316: [0, 0, 2, 0, 0], 319: [0, 0, 6, 0, 0], 321: [0, 0, 1, 0, 0], 322: [0, 0, 3, 0, 0], 323: [0, 0, 3, 0, 0]}","{286: [0.0, 0.0, 1.0, 0.0, 0.0], 300: [0.0, 0.0, 1.0, 0.0, 0.0], 308: [0.0, 0.0, 1.0, 0.0, 0.0], 310: [0.0, 0.0, 1.0, 0.0, 0.0], 311: [0.0, 0.0, 1.0, 0.0, 0.0], 312: [0.0, 0.0, 1.0, 0.0, 0.0], 314: [0.0, 0.0, 1.0, 0.0, 0.0], 315: [0.0, 0.0, 1.0, 0.0, 0.0], 316: [0.0, 0.0, 1.0, 0.0, 0.0], 319: [0.0, 0.0, 1.0, 0.0, 0.0], 321: [0.0, 0.0, 1.0, 0.0, 0.0], 322: [0.0, 0.0, 1.0, 0.0, 0.0], 323: [0.0, 0.0, 1.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Left/3回目/resize.mov
yolo26x-pose,9,"{286: [0, 0, 212, 0, 0], 328: [0, 0, 2, 0, 0], 330: [0, 0, 1, 0, 0], 340: [0, 0, 3, 0, 0], 342: [0, 0, 13, 0, 0], 343: [0, 0, 3, 0, 0], 346: [0, 0, 1, 0, 0], 351: [0, 0, 2, 0, 0], 361: [0, 0, 1, 0, 0]}","{286: [0.0, 0.0, 1.0, 0.0, 0.0], 328: [0.0, 0.0, 1.0, 0.0, 0.0], 330: [0.0, 0.0, 1.0, 0.0, 0.0], 340: [0.0, 0.0, 1.0, 0.0, 0.0], 342: [0.0, 0.0, 1.0, 0.0, 0.0], 343: [0.0, 0.0, 1.0, 0.0, 0.0], 346: [0.0, 0.0, 1.0, 0.0, 0.0], 351: [0.0, 0.0, 1.0, 0.0, 0.0], 361: [0.0, 0.0, 1.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Left/2回目/resize.mov
yolo26x-pose,1,"{286: [99, 45, 0, 157, 0]}","{286: [0.329, 0.15, 0.0, 0.522, 0.0]}",data_yolo/停止/車載/距離10m/RightandCheck/1回目/resize.mov
yolo26x-pose,2,"{286: [103, 54, 0, 53, 0], 370: [1, 0, 0, 0, 0]}","{286: [0.49, 0.257, 0.0, 0.252, 0.0], 370: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/RightandCheck/3回目/resize.mov
yolo26x-pose,5,"{286: [63, 70, 0, 111, 0], 376: [2, 0, 0, 0, 0], 377: [2, 0, 0, 0, 0], 380: [4, 0, 0, 0, 0], 384: [2, 0, 0, 0, 0]}","{286: [0.258, 0.287, 0.0, 0.455, 0.0], 376: [1.0, 0.0, 0.0, 0.0, 0.0], 377: [1.0, 0.0, 0.0, 0.0, 0.0], 380: [1.0, 0.0, 0.0, 0.0, 0.0], 384: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/RightandCheck/2回目/resize.mov
yolo26x-pose,1,"{286: [226, 0, 0, 0, 0]}","{286: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/1回目/resize.mov
yolo26x-pose,1,"{286: [212, 0, 0, 0, 0]}","{286: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/3回目/resize.mov
yolo26x-pose,1,"{286: [213, 0, 0, 0, 0]}","{286: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/2回目/resize.mov
