モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26s-pose,1,"{218: [208, 0, 0, 0, 0]}","{218: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/2回目/resize.mov
yolo26s-pose,1,"{230: [0, 207, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/1回目/resize.mov
yolo26s-pose,1,"{230: [0, 208, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/3回目/resize.mov
yolo26s-pose,1,"{230: [0, 212, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/2回目/resize.mov
yolo26s-pose,1,"{230: [0, 162, 0, 48, 0]}","{230: [0.0, 0.771, 0.0, 0.229, 0.0]}",data_yolo/停止/車載/距離10m/Right/1回目/resize.mov
yolo26s-pose,1,"{230: [0, 207, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Right/3回目/resize.mov
yolo26s-pose,1,"{230: [0, 219, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Right/2回目/resize.mov
yolo26s-pose,1,"{230: [0, 216, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Left/1回目/resize.mov
yolo26s-pose,1,"{230: [0, 223, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Left/3回目/resize.mov
yolo26s-pose,1,"{230: [0, 215, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Left/2回目/resize.mov
yolo26s-pose,1,"{230: [203, 57, 0, 41, 0]}","{230: [0.674, 0.189, 0.0, 0.136, 0.0]}",data_yolo/停止/車載/距離10m/RightandCheck/1回目/resize.mov
yolo26s-pose,1,"{230: [123, 57, 0, 31, 0]}","{230: [0.583, 0.27, 0.0, 0.147, 0.0]}",data_yolo/停止/車載/距離10m/RightandCheck/3回目/resize.mov
yolo26s-pose,1,"{230: [58, 107, 0, 82, 0]}","{230: [0.235, 0.433, 0.0, 0.332, 0.0]}",data_yolo/停止/車載/距離10m/RightandCheck/2回目/resize.mov
yolo26s-pose,1,"{230: [226, 0, 0, 0, 0]}","{230: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/1回目/resize.mov
yolo26s-pose,1,"{230: [212, 0, 0, 0, 0]}","{230: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/3回目/resize.mov
yolo26s-pose,1,"{230: [213, 0, 0, 0, 0]}","{230: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/2回目/resize.mov
